"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000152583",997.444732611474,4.60255454054448,0.211741943062569,21.7366218235961,9.24585530679515e-105,1.70262425474633e-100,"SPARCL1"
"ENSG00000148175",11193.7231981539,1.45149351422618,0.0848957782269659,17.0973580140306,1.55285950685643e-65,1.42979539093806e-61,"STOM"
"ENSG00000179094",776.600164098613,3.18388262288409,0.201509405983231,15.8001687680477,3.10284782913267e-56,1.90463142578261e-52,"PER1"
"ENSG00000134686",2737.98162586977,1.38716804373854,0.0916586973124072,15.1340580262727,9.65533116067354e-52,4.44507308309508e-48,"PHC2"
"ENSG00000125148",3656.26740037453,2.20346827829643,0.147419126764414,14.9469633056348,1.63015008214559e-50,6.0038427525422e-47,"MT2A"
"ENSG00000120129",3409.03835490143,2.94901281295457,0.201546443513953,14.6319268231116,1.75738759856064e-48,5.39371543791569e-45,"DUSP1"
"ENSG00000189221",2341.78067569054,3.30522736474065,0.228030723877466,14.4946580379087,1.30952913311303e-47,3.44499699803948e-44,"MAOA"
"ENSG00000109906",385.071327676389,7.17614939620671,0.496359299843643,14.4575701482117,2.2458729204689e-47,5.16971872880435e-44,"ZBTB16"
"ENSG00000178695",2649.82251474546,-2.49988304166943,0.178903479961864,-13.9733617378618,2.26669605821602e-44,4.63791199022755e-41,"KCTD12"
"ENSG00000101347",12703.4128252398,3.85775021160878,0.279324769386732,13.8109850410997,2.18818799611753e-43,4.02954819485044e-40,"SAMHD1"
"ENSG00000162614",5393.11454093552,2.02995889126933,0.151706516400003,13.3808285856157,7.82699330736287e-41,1.31030983413716e-37,"NEXN"
"ENSG00000196517",229.638049919376,-2.21693924604396,0.166828412556593,-13.2887390826902,2.69074302104977e-40,4.12916939438597e-37,"SLC6A9"
"ENSG00000096060",2564.38437504937,3.93843101507585,0.296906743548978,13.2648755902244,3.70034444266153e-40,5.24168022397016e-37,"FKBP5"
"ENSG00000162616",1467.63832301977,1.52097017999928,0.123443099810413,12.3212247775309,6.96286872139969e-35,9.15865910746967e-32,"DNAJB4"
"ENSG00000116584",2250.58089102087,-1.01449238445004,0.0824250094627599,-12.3080651256509,8.19646505866006e-35,1.0062526937015e-31,"ARHGEF2"
"ENSG00000166741",7432.96098233325,2.16221947092682,0.177514555482912,12.1805193103444,3.94760242395168e-34,4.54344366481689e-31,"NNMT"
